sentence,original_label,original_book,book_Anna_Karenina,naive_Anna_Karenina,book_Frankenstein,naive_Frankenstein,book_The_Adventures_of_Alice_in_Wonderland,naive_The_Adventures_of_Alice_in_Wonderland,book_Wuthering_Heights,naive_Wuthering_Heights
"Her health, and even the tranquillity of her hitherto constant spirit, had been shaken by what she had gone through.",3,Frankenstein,1,0,1,1,0,0,0,0
How mad I am!...,1,Anna Karenina,1,1,0,0,1,0,0,0
"The light became more and more oppressive to me, and the heat wearying me as I walked, I sought a place where I could receive shade.",3,Frankenstein,0,0,1,1,0,0,0,0
I ve done my duty.,2,Wuthering Heights,1,0,0,0,0,0,1,1
"You may hate, but beware!",3,Frankenstein,1,0,1,1,0,0,1,0
What is it?,0,The Adventures of Alice in Wonderland,1,0,0,0,1,1,1,0
"I had worked hard for nearly two years, for the sole purpose of infusing life into an inanimate body.",3,Frankenstein,0,0,1,1,0,0,0,0
There was certainly too much of it in the air.,0,The Adventures of Alice in Wonderland,0,0,0,0,1,1,0,0
"The old man returned to the cottage, and the youth, with tools different from those he had used in the morning, directed his steps across the fields.",3,Frankenstein,0,0,1,1,0,0,0,0
"Why should I, of all people, have such happiness!",1,Anna Karenina,1,1,1,0,0,0,1,0
Don t despise me.,1,Anna Karenina,1,1,1,0,0,0,1,0
My travels were long and the sufferings I endured intense.,3,Frankenstein,0,0,1,1,0,0,0,0
"Vegetables and bread, when they indulged in such luxuries, and even fresh water, was to be procured from the mainland, which was about five miles distant.",3,Frankenstein,0,0,1,1,0,0,0,0
There are only a few red ashes now.,2,Wuthering Heights,0,0,0,0,0,0,1,1
"I joined my wail to theirs, loud and bitter; but Joseph asked what we could be thinking of to roar in that way over a saint in heaven.",2,Wuthering Heights,0,0,0,0,0,0,1,1
"We left Oxford with regret and proceeded to Matlock, which was our next place of rest.",3,Frankenstein,0,0,1,1,0,0,0,0
"Well, the covered trap, then, and make haste.",1,Anna Karenina,1,1,0,0,0,0,1,0
"The moment Alice appeared, she was appealed to by all three to settle the question, and they repeated their arguments to her, though, as they all spoke at once, she found it very hard indeed to make out exactly what they said.",0,The Adventures of Alice in Wonderland,0,0,0,0,1,1,0,0
It seems to me that he s happy too.,1,Anna Karenina,1,1,0,0,0,0,1,0
Just now it was due to both causes.,1,Anna Karenina,1,1,0,0,0,0,1,0
He was a boy of singular talent and fancy.,3,Frankenstein,0,0,1,1,0,0,0,0
"Will you, won t you, will you, won t you, will you join the dance?",0,The Adventures of Alice in Wonderland,0,0,0,0,1,1,0,0
You dare not keep me.,3,Frankenstein,1,0,1,1,0,0,1,0
"And yon bonny lad Heathcliff, yah mind, he s a rare un.",2,Wuthering Heights,0,0,0,0,0,0,1,1
"Oh, well, when once you get an idea into your head!...",1,Anna Karenina,1,1,0,0,0,0,1,0
"I wait but for one event, and then I shall repose in peace.",3,Frankenstein,0,0,1,1,0,0,0,0
Your tone of contempt for us poor townsfolk!...,1,Anna Karenina,1,1,0,0,0,0,1,0
"_Alice s Right Foot, Esq., Hearthrug, near the Fender,_ (_with Alice s love_).",0,The Adventures of Alice in Wonderland,0,0,0,0,1,1,0,0
"The hedgehog was engaged in a fight with another hedgehog, which seemed to Alice an excellent opportunity for croqueting one of them with the other: the only difficulty was, that her flamingo was gone across to the other side of the garden, where Alice could see it trying in a helpless sort of way to fly up into a tree.",0,The Adventures of Alice in Wonderland,0,0,0,0,1,1,0,0
"Don t let him know she liked them best, For this must ever be A secret, kept from all the rest, Between yourself and me.",0,The Adventures of Alice in Wonderland,0,0,0,0,1,1,0,0
don t be angry with me.,1,Anna Karenina,1,1,0,0,0,0,1,0
I d nearly forgotten that I ve got to grow up again!,0,The Adventures of Alice in Wonderland,0,0,0,0,1,1,0,0
"I little expected, in this enlightened and scientific age, to find a disciple of Albertus Magnus and Paracelsus.",3,Frankenstein,0,0,1,1,0,0,0,0
"He took the implements which I described to you in my letter from his breast, and would have turned down the candle.",2,Wuthering Heights,0,0,0,0,0,0,1,1
"I _don t_ know, said the Caterpillar.",0,The Adventures of Alice in Wonderland,0,0,0,0,1,1,0,0
"I stared full at him, and laughed scornfully.",2,Wuthering Heights,1,0,0,0,0,0,1,1
"Alice looked up, and there stood the Queen in front of them, with her arms folded, frowning like a thunderstorm.",0,The Adventures of Alice in Wonderland,0,0,0,0,1,1,0,0
"I repeated, hastily.",2,Wuthering Heights,0,0,0,0,0,0,1,1
I ve gone very near with papa.,2,Wuthering Heights,0,0,0,0,0,0,1,1
"He was rather _too_ indulgent in humouring her caprices; not from affection, but from pride: he wished earnestly to see her bring honour to the family by an alliance with the Lintons, and as long as she let him alone she might trample on us like slaves, for aught he cared!",2,Wuthering Heights,1,0,1,0,0,0,1,1
I whispered.,2,Wuthering Heights,1,0,1,0,0,0,1,1
"Are you willing to endure to the last, and not once attempt a repayment?",2,Wuthering Heights,0,0,0,0,0,0,1,1
Is that all?,0,The Adventures of Alice in Wonderland,1,0,0,0,1,1,1,0
Do not think that I shall be slow to perform this sacrifice.,3,Frankenstein,0,0,1,1,0,0,0,0
"he said, shaking himself.",1,Anna Karenina,1,1,0,0,0,0,1,0
"Alice thought the whole thing very absurd, but they all looked so grave that she did not dare to laugh; and, as she could not think of anything to say, she simply bowed, and took the thimble, looking as solemn as she could.",0,The Adventures of Alice in Wonderland,0,0,0,0,1,1,0,0
"When my dearest aunt died every one was too much occupied in their own grief to notice poor Justine, who had attended her during her illness with the most anxious affection.",3,Frankenstein,0,0,1,1,0,0,0,0
And what an ignorant little girl she ll think me for asking!,0,The Adventures of Alice in Wonderland,0,0,0,0,1,1,0,0
(Dinah was the cat.),0,The Adventures of Alice in Wonderland,1,0,0,0,1,1,0,0
"Victor, he is murdered!",3,Frankenstein,0,0,1,1,0,0,0,0
Nor was her residence at her mother s house of a nature to restore her gaiety.,3,Frankenstein,0,0,1,1,0,0,0,0
"Remember me to him, be sure you do.",1,Anna Karenina,1,1,0,0,0,0,1,0
On her deathbed the fortitude and benignity of this best of women did not desert her.,3,Frankenstein,0,0,1,1,0,0,0,0
"Your repentance, I said, is now superfluous.",3,Frankenstein,0,0,1,1,0,0,0,0
This is how I should like to live!,1,Anna Karenina,1,1,0,0,0,0,1,0
"I m not putting the question through idle curiosity, but You are putting the question through very idle curiosity, he interrupted, with a laugh.",2,Wuthering Heights,0,0,0,0,0,0,1,1
Who wants to play croquet?,1,Anna Karenina,1,1,0,0,1,0,0,0
"The tale was quickly told, but it awakened various trains of reflection.",3,Frankenstein,0,0,1,1,0,0,0,0
CHAPTER XII.,0,The Adventures of Alice in Wonderland,0,0,0,0,1,1,0,0
"I beg pardon, your Majesty, he began, for bringing these in: but I hadn t quite finished my tea when I was sent for.",0,The Adventures of Alice in Wonderland,0,0,0,0,1,1,0,0
"But as he said these words there gleamed in his eyes not merely a cold look, but the vindictive look of a man persecuted and made cruel.",1,Anna Karenina,1,1,1,0,0,0,0,0
"I lost sight of her, and in about a quarter of an hour she returned bearing the pail, which was now partly filled with milk.",3,Frankenstein,0,0,1,1,0,0,0,0
"The Frog-Footman repeated, in the same solemn tone, only changing the order of the words a little, From the Queen.",0,The Adventures of Alice in Wonderland,0,0,0,0,1,1,0,0
Gooid-for-naught madling!,2,Wuthering Heights,1,0,0,0,0,0,1,1
I was pained at this and sat still watching the operation of the fire.,3,Frankenstein,0,0,1,1,0,0,0,0
"Has this mind, so replete with ideas, imaginations fanciful and magnificent, which formed a world, whose existence depended on the life of its creator; has this mind perished?",3,Frankenstein,0,0,1,1,0,0,0,0
"Isabella Linton is not to be compared with her, is she, Frances?",2,Wuthering Heights,0,0,0,0,0,0,1,1
"This idea plunged me into a reverie so despairing and frightful that even now, when the scene is on the point of closing before me for ever, I shudder to reflect on it.",3,Frankenstein,0,0,1,1,0,0,1,0
"All warks togither for gooid to them as is chozzen, and piked out fro th rubbidge!",2,Wuthering Heights,0,0,0,0,0,0,1,1
The sun rose; I heard the voices of men and knew that it was impossible to return to my retreat during that day.,3,Frankenstein,0,0,1,1,0,0,0,0
"I felt emotions of gentleness and pleasure, that had long appeared dead, revive within me.",3,Frankenstein,0,0,1,1,0,0,0,0
"She ate a little bit, and said anxiously to herself, Which way?",0,The Adventures of Alice in Wonderland,1,0,0,0,1,1,1,0
"Oh, oh!",1,Anna Karenina,1,1,1,0,1,0,1,0
What a curious plan!,0,The Adventures of Alice in Wonderland,1,0,0,0,1,1,0,0
"This picture is gone, and was doubtless the temptation which urged the murderer to the deed.",3,Frankenstein,0,0,1,1,0,0,0,0
You shall not to-night!,2,Wuthering Heights,0,0,1,0,0,0,1,1
"I have answered three questions, and that is enough, Said his father; don t give yourself airs!",0,The Adventures of Alice in Wonderland,0,0,0,0,1,1,0,0
"Yet some feelings, unallied to the dross of human nature, beat even in these rugged bosoms.",3,Frankenstein,0,0,1,1,0,0,0,0
"Urged by this view, I refused, and I did right in refusing, to create a companion for the first creature.",3,Frankenstein,0,0,1,1,0,0,0,0
"Oh, don t, don t go.",2,Wuthering Heights,1,0,0,0,0,0,1,1
she whispered penitently.,1,Anna Karenina,1,1,1,0,1,0,1,0
"Possibly I was mistaken, said he.",1,Anna Karenina,1,1,1,0,0,0,1,0
Absence cannot have rendered you callous to our joys and griefs; and how shall I inflict pain on my long absent son?,3,Frankenstein,0,0,1,1,0,0,0,0
With this resolution I traversed the northern highlands and fixed on one of the remotest of the Orkneys as the scene of my labours.,3,Frankenstein,0,0,1,1,0,0,0,0
"It rang on my ears long and heavily; the mountains re-echoed it, and I felt as if all hell surrounded me with mockery and laughter.",3,Frankenstein,0,0,1,1,0,0,0,0
It is even possible that the train of my ideas would never have received the fatal impulse that led to my ruin.,3,Frankenstein,0,0,1,1,0,0,0,0
What culpable carelessness in her brother!,2,Wuthering Heights,1,0,0,0,0,0,1,1
Wake up!,2,Wuthering Heights,1,0,1,0,1,0,1,1
"Well, what would you say about papa?",1,Anna Karenina,1,1,0,0,0,0,1,0
"The busy stage of life, the virtues of heroes, and the actions of men were his theme; and his hope and his dream was to become one among those whose names are recorded in story as the gallant and adventurous benefactors of our species.",3,Frankenstein,0,0,1,1,0,0,0,0
Alice whispered to the Gryphon.,0,The Adventures of Alice in Wonderland,0,0,0,0,1,1,0,0
"I replied in that sense, and supposed that the matter was ended.",1,Anna Karenina,1,1,0,0,0,0,1,0
"I quickly collected some branches, but they were wet and would not burn.",3,Frankenstein,0,0,1,1,0,0,0,0
I am not _your_ husband: _you_ needn t be jealous of me!,2,Wuthering Heights,0,0,0,0,0,0,1,1
"There was bitterness, there was shame in his heart, but with bitterness and shame he felt joy and emotion at the height of his own meekness.",1,Anna Karenina,1,1,1,0,0,0,1,0
"The Mouse gave a sudden leap out of the water, and seemed to quiver all over with fright.",0,The Adventures of Alice in Wonderland,0,0,0,0,1,1,0,0
It s the end.,1,Anna Karenina,1,1,0,0,1,0,1,0
"said Alice in a tone of delight, which changed into alarm in another moment, when she found that her shoulders were nowhere to be found: all she could see, when she looked down, was an immense length of neck, which seemed to rise like a stalk out of a sea of green leaves that lay far below her.",0,The Adventures of Alice in Wonderland,0,0,0,0,1,1,0,0
"I inquired whether I might call the maid, and be conducted to a bedroom!",2,Wuthering Heights,1,0,0,0,0,0,1,1
"They are not mine, said the amiable hostess, more repellingly than Heathcliff himself could have replied.",2,Wuthering Heights,0,0,0,0,0,0,1,1
"If you love me, as you say, she whispered, do so that I may be at peace.",1,Anna Karenina,1,1,0,0,0,0,1,0
All I see is that you take too gloomy a view of things.,1,Anna Karenina,1,1,1,0,0,0,0,0
asked her mother.,1,Anna Karenina,1,1,0,0,1,0,0,0
"At first I wished to hurry on, for I longed to console and sympathise with my loved and sorrowing friends; but when I drew near my native town, I slackened my progress.",3,Frankenstein,0,0,1,1,0,0,0,0
"That report, you say, is false; and be assured, dear Justine, that nothing can shake my confidence in you for a moment, but your own confession.",3,Frankenstein,0,0,1,1,0,0,0,0
Why did you form a monster so hideous that even _you_ turned from me in disgust?,3,Frankenstein,0,0,1,1,0,0,0,0
My own agitation and anguish was extreme during the whole trial.,3,Frankenstein,0,0,1,1,0,0,0,0
Later!,1,Anna Karenina,1,1,0,0,1,0,1,0
"He had vowed _to be with me on my wedding-night_, yet he did not consider that threat as binding him to peace in the meantime, for as if to show me that he was not yet satiated with blood, he had murdered Clerval immediately after the enunciation of his threats.",3,Frankenstein,0,0,1,1,0,0,0,0
"Heathcliff s face brightened a moment; then it was overcast afresh, and he sighed.",2,Wuthering Heights,0,0,0,0,0,0,1,1
"He was conveyed home, and the anguish that was visible in my countenance betrayed the secret to Elizabeth.",3,Frankenstein,0,0,1,1,0,0,0,0
"Remember, I am not recording the vision of a madman.",3,Frankenstein,0,0,1,1,0,0,0,0
The master is a person of an excellent disposition and is remarkable in the ship for his gentleness and the mildness of his discipline.,3,Frankenstein,0,0,1,1,0,0,0,0
"I do not wish to take any unfair advantage, and I beg therefore that you will take some days to consider of your determination.",3,Frankenstein,0,0,1,1,0,0,0,0
"If she had gone near the spot where his body lay, it was without her knowledge.",3,Frankenstein,1,0,1,1,0,0,0,0
"And then, I thought, how ever will that weakling live at Wuthering Heights?",2,Wuthering Heights,0,0,0,0,0,0,1,1
"On entering the drawing-room Stepan Arkadyevitch apologized, explaining that he had been detained by that prince, who was always the scapegoat for all his absences and unpunctualities, and in one moment he had made all the guests acquainted with each other, and, bringing together Alexey Alexandrovitch and Sergey Koznishev, started them on a discussion of the Russification of Poland, into which they immediately plunged with Pestsov.",1,Anna Karenina,1,1,0,0,0,0,0,0
My God!,2,Wuthering Heights,1,0,1,0,1,0,1,1
"Well, what is it?",1,Anna Karenina,1,1,0,0,1,0,1,0
"It shows you are a cunning little fox, and nobody will put faith in you any more.",2,Wuthering Heights,0,0,0,0,0,0,1,1
"At last, he said, in a half-whisper, plainly not expecting an answer, Is any one here?",2,Wuthering Heights,1,0,0,0,0,0,1,1
"Ah, he was in such a fury!",2,Wuthering Heights,1,0,0,0,0,0,1,1
"They made many signs which I did not comprehend, but I saw that her presence diffused gladness through the cottage, dispelling their sorrow as the sun dissipates the morning mists.",3,Frankenstein,0,0,1,1,0,0,0,0
Am I not shunned and hated by all mankind?,3,Frankenstein,0,0,1,1,0,0,0,0
"And she sang it just as quietly, as coolly, and as well as the others.",1,Anna Karenina,1,1,1,0,0,0,0,0
"Here, I thought, is one of those whose joy-imparting smiles are bestowed on all but me.",3,Frankenstein,1,0,1,1,0,0,0,0
"At one time the moon, which had before been clear, was suddenly overspread by a thick cloud, and I took advantage of the moment of darkness and cast my basket into the sea; I listened to the gurgling sound as it sank and then sailed away from the spot.",3,Frankenstein,1,0,1,1,0,0,0,0
"There are no mice in the air, I m afraid, but you might catch a bat, and that s very like a mouse, you know.",0,The Adventures of Alice in Wonderland,0,0,0,0,1,1,0,0
I interrupted.,2,Wuthering Heights,0,0,1,0,0,0,1,1
If you had any real griefs you d be ashamed to waste a tear on this little contrariety.,2,Wuthering Heights,1,0,0,0,0,0,1,1
he cried in a shrill voice.,1,Anna Karenina,1,1,1,0,1,0,1,0
I wondered greatly how it would end.,2,Wuthering Heights,1,0,0,0,0,0,1,1
"Veslovsky, beside me, walk beside me!",1,Anna Karenina,1,1,0,0,0,0,0,0
It s all hateful.,1,Anna Karenina,1,1,0,0,0,0,1,0
"The scene was perfectly solitary; a few boats were returning towards land, but I sailed away from them.",3,Frankenstein,0,0,1,1,0,0,0,0
"and a Canary called out in a trembling voice to its children, Come away, my dears!",0,The Adventures of Alice in Wonderland,0,0,0,0,1,1,0,0
"Good-bye, Darya Alexandrovna, till we meet again.",1,Anna Karenina,1,1,0,0,0,0,1,0
But I was not to blame.,1,Anna Karenina,1,1,1,0,0,0,0,0
"And he had now come to Moscow with a firm determination to make an offer, and get married if he were accepted.",1,Anna Karenina,1,1,0,0,0,0,0,0
"It s yon flaysome, graceless quean, that s witched our lad, wi her bold een and her forrard ways till Nay!",2,Wuthering Heights,0,0,0,0,0,0,1,1
(The jury all looked puzzled.),0,The Adventures of Alice in Wonderland,0,0,0,0,1,1,0,0
Do you know why it s called a whiting?,0,The Adventures of Alice in Wonderland,0,0,0,0,1,1,0,0
"I was unable to pursue the train of thought; a thousand feelings pressed upon me, and I wept bitterly.",3,Frankenstein,0,0,1,1,0,0,1,0
"Mr. Linton has a prejudice against me: we quarrelled at one time of our lives, with unchristian ferocity; and, if you mention coming here to him, he ll put a veto on your visits altogether.",2,Wuthering Heights,0,0,0,0,0,0,1,1
"But suddenly her face was drawn, she pushed him away.",1,Anna Karenina,1,1,0,0,0,0,1,0
"She merely smiled with a pretense of irony when he finished, and made no reply, because she had not heard what he said.",1,Anna Karenina,1,1,1,0,0,0,0,0
I shall die.,3,Frankenstein,1,0,1,1,0,0,1,0
"Don t suppose, please, that I judge her.",1,Anna Karenina,1,1,0,0,0,0,1,0
"He burst into a laugh, and went away, saying he was glad I took that view of the matter.",2,Wuthering Heights,0,0,0,0,0,0,1,1
"Why do you not hate Felix, who drove his friend from his door with contumely?",3,Frankenstein,0,0,1,1,0,0,0,0
She was no longer that happy creature who in earlier youth wandered with me on the banks of the lake and talked with ecstasy of our future prospects.,3,Frankenstein,0,0,1,1,0,0,0,0
"Ah, he must tell you this story!",1,Anna Karenina,1,1,0,0,0,0,1,0
"Alice had never been in a court of justice before, but she had read about them in books, and she was quite pleased to find that she knew the name of nearly everything there.",0,The Adventures of Alice in Wonderland,0,0,0,0,1,1,0,0
"There was exactly one a-piece, all round.",0,The Adventures of Alice in Wonderland,0,0,0,0,1,1,0,0
She d soon fetch it back!,0,The Adventures of Alice in Wonderland,1,0,0,0,1,1,1,0
"But he repeated his command in an angry voice, pointing to a spot covered with water, where there could not be anything.",1,Anna Karenina,1,1,0,0,0,0,0,0
"The abrupt descent of Penistone Crags particularly attracted her notice; especially when the setting sun shone on it and the topmost heights, and the whole extent of landscape besides lay in shadow.",2,Wuthering Heights,0,0,0,0,0,0,1,1
Do not fear.,3,Frankenstein,1,0,1,1,0,0,1,0
"No, not very, he said.",1,Anna Karenina,1,1,0,0,0,0,1,0
He had caused the best room in the prison to be prepared for me (wretched indeed was the best); and it was he who had provided a physician and a nurse.,3,Frankenstein,0,0,1,1,0,0,0,0
"Alice guessed in a moment that it was looking for the fan and the pair of white kid gloves, and she very good-naturedly began hunting about for them, but they were nowhere to be seen everything seemed to have changed since her swim in the pool, and the great hall, with the glass table and the little door, had vanished completely.",0,The Adventures of Alice in Wonderland,0,0,0,0,1,1,0,0
You must pardon me if I regard any interruption in your correspondence as a proof that your other duties are equally neglected.,3,Frankenstein,0,0,1,1,0,0,0,0
"Their heads are gone, if it please your Majesty!",0,The Adventures of Alice in Wonderland,0,0,0,0,1,1,0,0
"The idea of renewing my labours did not for one instant occur to me; the threat I had heard weighed on my thoughts, but I did not reflect that a voluntary act of mine could avert it.",3,Frankenstein,0,0,1,1,0,0,0,0
"He at once perceived it, and blushed too.",1,Anna Karenina,1,1,0,0,0,0,1,0
Supposing she had been older ...,1,Anna Karenina,1,1,0,0,1,0,0,0
"I dare not expect such success, yet I cannot bear to look on the reverse of the picture.",3,Frankenstein,0,0,1,1,0,0,0,0
"She thought that some of them had been laying violent hands on me; and, not daring to attack her master, she turned her vocal artillery against the younger scoundrel.",2,Wuthering Heights,0,0,1,0,0,0,1,1
Have you drunk also of the intoxicating draught?,3,Frankenstein,1,0,1,1,0,0,0,0
Out of the question!,1,Anna Karenina,1,1,0,0,1,0,0,0
"Ellen, said he, when I entered, have you seen your mistress?",2,Wuthering Heights,0,0,0,0,0,0,1,1
"I approached this tremendous being; I dared not again raise my eyes to his face, there was something so scaring and unearthly in his ugliness.",3,Frankenstein,1,0,1,1,0,0,1,0
"When they separated Felix kissed the hand of the stranger and said, Good night sweet Safie.",3,Frankenstein,0,0,1,1,0,0,0,0
"Alice did not quite like the look of the creature, but on the whole she thought it would be quite as safe to stay with it as to go after that savage Queen: so she waited.",0,The Adventures of Alice in Wonderland,0,0,0,0,1,1,0,0
"So they went up to the Mock Turtle, who looked at them with large eyes full of tears, but said nothing.",0,The Adventures of Alice in Wonderland,0,0,0,0,1,1,0,0
I said to myself.,2,Wuthering Heights,1,0,1,0,0,0,1,1
"For heaven s sake, Catherine, don t look so angry!",2,Wuthering Heights,0,0,0,0,0,0,1,1
